id_str,text,created_at,place
1.24327E+18,SR SPOTLIGHT   Rylie Moore  Position  outfield  College  Ohio Wesleyan University  Major  Elementary Education  Fav,2020-03-26 20:08,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:08,None
1.24327E+18,RT    Liberty University welcomes students back to campus despite coronavirus outbreak,2020-03-26 20:07,None
1.24327E+18,Poor reference  A collective scientific study conducted by scholars of fou,2020-03-26 20:07,None
1.24327E+18,RT    Education is not just about going to University and getting a degree  It is about widening our knowledge and learning sk,2020-03-26 20:06,None
1.24327E+18,Liberty University welcomes students back to campus despite coronavirus outbreak,2020-03-26 20:06,None
1.24327E+18,Not mentioned in Falwell s response  Liberty University is keeping all the money for room and board for,2020-03-26 20:06,None
1.24327E+18,During this month in 1977  Joan Foley was named the Principal of Scarborough College  As the first woman to head a,2020-03-26 20:06,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:05,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:05,None
1.24327E+18,RT    The worrying findings of a report that shows the depth of unhappiness of Cardiff University staff     Wa,2020-03-26 20:05,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:05,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:05,None
1.24327E+18,I m happy to announce that I will be continuing my education and playing hockey at Wesleyan University  A huge than,2020-03-26 20:04,None
1.24327E+18,RT    Who the F amp  amp   cares  There s a pandemic on  Oh I forgot  Ideological causes don t stop during a pandemic for the UCP  s,2020-03-26 20:04,None
